Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,3.40,3.50,3.37,3.39,55100,3.39
2016-01-21,3.28,3.50,3.14,3.36,115400,3.36
2016-01-20,3.08,3.31,2.93,3.28,90000,3.28
2016-01-19,3.22,3.23,3.05,3.11,66400,3.11
2016-01-15,3.15,3.31,3.00,3.21,81600,3.21
2016-01-14,3.20,3.40,2.91,3.22,122600,3.22
2016-01-13,3.25,3.36,3.12,3.21,82400,3.21
2016-01-12,3.23,3.77,3.16,3.31,156400,3.31
2016-01-11,3.87,4.00,3.18,3.40,189700,3.40
2016-01-08,4.22,4.37,3.61,3.72,202400,3.72
2016-01-07,4.77,4.78,4.07,4.15,286300,4.15
2016-01-06,4.93,4.93,4.67,4.77,59600,4.77
2016-01-05,5.08,5.11,4.90,4.92,41200,4.92
2016-01-04,5.22,5.22,4.98,5.09,62300,5.09
2015-12-31,5.46,5.46,5.03,5.26,89900,5.26
2015-12-30,4.89,5.29,4.71,5.22,144800,5.22
2015-12-29,5.01,5.03,4.76,4.81,96400,4.81
2015-12-28,5.03,5.24,4.96,5.00,93500,5.00
2015-12-24,5.02,5.10,5.01,5.07,18300,5.07
2015-12-23,5.28,5.28,4.972,5.06,53300,5.06
2015-12-22,4.75,5.37,4.75,5.10,143100,5.10
2015-12-21,4.89,4.89,4.70,4.78,69600,4.78
2015-12-18,4.91,4.93,4.71,4.80,123500,4.80
2015-12-17,4.70,4.96,4.70,4.86,75300,4.86
2015-12-16,4.83,4.89,4.66,4.70,157000,4.70
2015-12-15,4.98,5.17,4.77,4.83,162900,4.83
2015-12-14,5.10,5.112,4.75,4.93,110800,4.93
2015-12-11,5.23,5.28,5.10,5.16,69100,5.16
2015-12-10,5.26,5.442,5.19,5.28,54400,5.28
2015-12-09,5.33,5.33,5.139,5.26,69900,5.26
2015-12-08,5.19,5.50,5.09,5.35,142600,5.35
2015-12-07,5.17,5.30,5.17,5.20,95500,5.20
2015-12-04,5.28,5.34,5.21,5.25,41100,5.25
2015-12-03,5.39,5.42,5.23,5.32,35400,5.32
2015-12-02,5.33,5.44,5.22,5.40,182300,5.40
2015-12-01,5.35,5.52,5.15,5.32,95600,5.32
2015-11-30,5.50,5.55,5.25,5.27,145300,5.27
2015-11-27,5.72,5.72,5.43,5.50,118400,5.50
2015-11-25,5.98,5.99,5.62,5.69,170500,5.69
2015-11-24,5.75,6.039,5.72,5.88,84600,5.88
2015-11-23,5.45,5.89,5.443,5.84,244000,5.84
2015-11-20,5.61,5.81,5.50,5.57,117400,5.57
2015-11-19,6.36,6.70,5.57,5.70,849300,5.70
2015-11-18,5.40,5.97,5.40,5.75,109800,5.75
2015-11-17,5.11,5.764,5.11,5.42,123700,5.42
2015-11-16,5.16,5.233,5.00,5.19,152200,5.19
2015-11-13,5.43,5.44,5.10,5.25,269200,5.25
2015-11-12,5.62,5.699,5.35,5.44,220600,5.44
2015-11-11,5.64,5.84,5.50,5.84,65700,5.84
2015-11-10,5.71,5.85,5.56,5.64,151600,5.64
2015-11-09,6.31,6.42,5.75,5.78,193200,5.78
2015-11-06,5.80,6.043,5.77,5.95,109600,5.95
2015-11-05,6.01,6.01,5.77,5.89,77100,5.89
2015-11-04,5.98,6.05,5.87,5.96,118600,5.96
2015-11-03,6.12,6.133,5.94,6.01,432800,6.01
2015-11-02,6.21,6.50,6.02,6.38,256800,6.38
2015-10-30,6.37,6.447,6.12,6.25,149800,6.25
2015-10-29,6.60,6.73,6.37,6.46,131700,6.46
2015-10-28,6.61,6.92,6.23,6.70,188400,6.70
2015-10-27,6.93,7.05,6.37,6.76,205900,6.76
2015-10-26,7.07,7.20,6.83,6.93,221800,6.93
2015-10-23,7.33,7.469,6.90,7.22,179500,7.22
2015-10-22,7.72,8.18,7.18,7.25,733600,7.25
2015-10-21,7.80,7.879,7.10,7.29,484100,7.29
2015-10-20,7.85,8.54,7.67,7.79,337100,7.79
2015-10-19,7.10,8.54,7.06,7.85,545200,7.85
2015-10-16,7.36,7.45,7.06,7.16,129100,7.16
2015-10-15,7.15,7.39,7.00,7.39,118400,7.39
2015-10-14,7.24,7.43,7.03,7.13,58100,7.13
2015-10-13,7.36,7.69,7.21,7.24,49700,7.24
2015-10-12,7.30,7.69,7.025,7.55,95900,7.55
2015-10-09,7.55,7.60,7.15,7.35,249200,7.35
2015-10-08,7.55,7.65,7.22,7.58,159600,7.58
2015-10-07,6.97,7.90,6.78,7.61,313100,7.61
2015-10-06,7.45,7.554,6.90,7.03,232300,7.03
2015-10-05,7.66,8.20,7.39,7.60,410500,7.60
2015-10-02,7.83,7.83,7.31,7.71,461600,7.71
2015-10-01,7.67,8.31,7.43,7.83,441100,7.83
2015-09-30,7.62,8.06,7.07,7.48,412700,7.48
2015-09-29,7.77,8.802,7.23,7.56,692700,7.56
2015-09-28,9.61,10.86,7.71,8.08,1951200,8.08
2015-09-25,11.81,12.25,9.55,9.85,2688700,9.85
2015-09-24,8.89,11.72,8.84,11.06,2465000,11.06
2015-09-23,9.77,9.97,8.89,9.26,940700,9.26
2015-09-22,9.20,11.17,8.82,9.88,7018800,9.88
2015-09-21,7.00,8.37,7.00,8.10,2892200,8.10
2015-09-18,5.40,7.36,5.40,6.85,1851800,6.85
2015-09-17,5.36,5.48,5.30,5.36,24900,5.36
2015-09-16,5.29,5.38,5.14,5.36,12900,5.36
2015-09-15,5.00,5.339,5.00,5.29,15700,5.29
2015-09-14,5.29,5.34,5.00,5.03,66300,5.03
2015-09-11,5.36,5.48,5.224,5.24,45100,5.24
2015-09-10,5.10,5.36,5.10,5.33,59600,5.33
2015-09-09,5.341,5.341,5.05,5.08,55500,5.08
2015-09-08,5.37,5.383,5.31,5.32,25100,5.32
2015-09-04,5.32,5.33,5.21,5.27,9800,5.27
2015-09-03,5.47,5.48,5.25,5.355,19600,5.355
2015-09-02,5.32,5.474,5.32,5.43,37800,5.43
2015-09-01,5.25,5.41,5.25,5.35,42800,5.35
2015-08-31,5.25,5.50,5.25,5.39,92500,5.39
2015-08-28,5.41,5.509,5.26,5.31,38100,5.31
2015-08-27,5.55,5.55,5.36,5.42,162700,5.42
2015-08-26,5.25,5.591,5.25,5.48,66000,5.48
2015-08-25,5.14,5.523,5.14,5.205,28900,5.205
2015-08-24,5.00,5.35,4.76,5.02,122000,5.02
2015-08-21,5.05,5.76,4.91,5.25,124100,5.25
2015-08-20,5.60,6.40,5.00,5.03,393000,5.03
2015-08-19,5.40,5.40,5.16,5.23,11900,5.23
2015-08-18,5.21,5.45,5.08,5.21,27800,5.21
2015-08-17,5.26,5.43,5.00,5.26,44800,5.26
2015-08-14,5.66,5.69,5.012,5.34,119200,5.34
2015-08-13,5.31,5.94,5.11,5.63,76900,5.63
2015-08-12,5.00,5.41,4.60,5.32,148400,5.32
2015-08-11,5.17,5.39,5.00,5.01,64200,5.01
2015-08-10,5.17,5.375,4.95,5.33,105000,5.33
2015-08-07,5.59,5.739,5.03,5.17,138300,5.17
2015-08-06,5.84,5.84,5.53,5.58,36100,5.58
2015-08-05,5.67,5.851,5.654,5.78,42000,5.78
2015-08-04,5.70,5.92,5.579,5.67,35100,5.67
2015-08-03,5.98,6.10,5.55,5.74,78300,5.74
2015-07-31,5.98,6.11,5.86,6.00,41700,6.00
2015-07-30,6.29,6.29,5.95,5.98,53700,5.98
2015-07-29,6.14,6.31,6.12,6.23,18600,6.23
2015-07-28,6.16,6.508,6.12,6.147,28900,6.147
2015-07-27,6.545,6.545,6.11,6.28,76000,6.28
2015-07-24,6.75,6.82,6.53,6.58,38900,6.58
2015-07-23,6.87,6.96,6.762,6.77,36400,6.77
2015-07-22,7.00,7.20,6.69,6.79,174900,6.79
2015-07-21,6.50,6.92,6.30,6.92,70800,6.92
2015-07-20,6.70,6.916,6.43,6.47,63100,6.47
2015-07-17,6.92,6.93,6.61,6.69,43500,6.69
2015-07-16,6.83,6.95,6.70,6.78,81200,6.78
2015-07-15,6.69,6.95,6.61,6.80,98000,6.80
2015-07-14,6.52,6.82,6.39,6.75,125600,6.75
2015-07-13,6.20,6.69,6.07,6.36,167800,6.36
2015-07-10,5.90,6.22,5.90,6.19,78600,6.19
2015-07-09,5.85,5.99,5.81,5.87,78600,5.87
2015-07-08,6.08,6.11,5.89,6.00,50200,6.00
2015-07-07,6.24,6.30,5.86,6.10,72100,6.10
2015-07-06,6.15,6.25,5.998,6.24,34500,6.24
2015-07-02,6.17,6.31,6.03,6.25,76500,6.25
2015-07-01,6.23,6.34,5.86,6.20,180900,6.20
2015-06-30,6.04,6.325,6.04,6.17,56400,6.17
2015-06-29,6.31,6.31,5.70,6.04,119300,6.04
2015-06-26,6.86,6.86,6.30,6.43,115400,6.43
2015-06-25,6.99,6.99,6.742,6.85,124400,6.85
2015-06-24,6.28,7.014,6.24,6.92,439400,6.92
2015-06-23,6.34,6.38,6.05,6.34,138300,6.34
2015-06-22,5.93,6.44,5.84,6.22,450300,6.22
2015-06-19,5.901,6.00,5.865,5.94,30700,5.94
2015-06-18,5.95,6.15,5.86,5.93,71300,5.93
2015-06-17,6.18,6.207,5.69,5.94,307600,5.94
2015-06-16,6.28,6.40,6.14,6.18,102800,6.18
2015-06-15,6.43,6.45,6.20,6.41,133800,6.41
2015-06-12,6.35,6.394,6.16,6.28,110800,6.28
2015-06-11,6.50,6.56,6.15,6.41,229200,6.41
2015-06-10,6.45,6.74,6.41,6.52,218000,6.52
2015-06-09,7.10,7.157,6.47,6.50,318700,6.50
2015-06-08,7.54,7.68,7.02,7.05,227700,7.05
2015-06-05,7.45,7.85,7.41,7.50,471600,7.50
2015-06-04,7.57,8.08,7.21,7.45,337100,7.45
2015-06-03,7.32,7.58,6.87,7.58,590500,7.58
2015-06-02,8.28,8.28,7.32,7.40,1243600,7.40
2015-06-01,8.96,9.13,7.95,8.15,4470200,8.15
2015-05-29,7.32,8.70,7.08,8.05,4103500,8.05
2015-05-28,7.37,7.80,6.91,7.38,1150100,7.38
2015-05-27,6.78,7.94,6.50,7.30,2475600,7.30
2015-05-26,5.37,8.06,5.31,7.35,9314500,7.35
2015-05-22,5.58,5.75,5.20,5.25,687300,5.25
2015-05-21,5.43,5.60,5.01,5.05,273900,5.05
2015-05-20,5.00,5.624,4.86,5.58,521400,5.58
2015-05-19,5.55,5.628,4.97,5.06,901100,5.06
2015-05-18,5.96,6.12,5.52,5.55,737700,5.55
2015-05-15,5.96,6.32,5.60,5.76,3189100,5.76
2015-05-14,5.05,7.09,5.05,6.44,16739400,6.44
2015-05-13,4.01,4.08,3.70,4.08,80200,4.08
2015-05-12,4.28,4.28,3.71,3.95,89300,3.95
2015-05-11,3.75,4.20,3.69,4.06,121700,4.06
2015-05-08,3.73,3.78,3.68,3.73,33800,3.73
2015-05-07,3.72,3.86,3.602,3.66,41400,3.66
2015-05-06,3.90,3.90,3.68,3.72,50800,3.72
2015-05-05,4.16,4.19,3.83,3.94,65600,3.94
2015-05-04,3.77,4.24,3.77,4.12,118000,4.12
2015-05-01,3.69,3.78,3.69,3.71,20700,3.71
2015-04-30,3.75,3.86,3.66,3.67,93700,3.67
2015-04-29,3.90,3.90,3.70,3.76,104700,3.76
2015-04-28,4.10,4.10,3.85,3.91,130500,3.91
2015-04-27,4.241,4.26,4.05,4.07,69800,4.07
2015-04-24,4.08,4.36,4.043,4.23,82300,4.23
2015-04-23,4.36,4.37,4.107,4.16,129000,4.16
2015-04-22,4.48,4.69,4.35,4.37,60300,4.37
2015-04-21,4.57,4.68,4.37,4.45,101400,4.45
2015-04-20,4.80,4.80,4.52,4.55,135800,4.55
2015-04-17,4.80,4.84,4.66,4.83,64700,4.83
2015-04-16,5.12,5.33,4.75,4.80,207900,4.80
2015-04-15,4.63,5.19,4.63,5.12,436500,5.12
2015-04-14,4.45,4.71,4.45,4.63,76900,4.63
2015-04-13,4.80,4.80,4.50,4.51,77400,4.51
2015-04-10,4.56,4.64,4.55,4.60,73000,4.60
2015-04-09,4.60,4.719,4.50,4.54,95900,4.54
2015-04-08,4.61,4.80,4.503,4.57,164300,4.57
2015-04-07,4.90,5.00,4.60,4.65,250500,4.65
2015-04-06,4.61,5.29,4.61,4.90,428900,4.90
2015-04-02,4.61,4.91,4.52,4.77,305100,4.77
2015-04-01,5.15,5.17,4.50,4.63,533400,4.63
2015-03-31,5.15,5.80,5.10,5.20,493300,5.20
2015-03-30,5.71,5.98,5.18,5.29,480800,5.29
2015-03-27,6.00,6.59,5.38,5.68,2125500,5.68
2015-03-26,6.63,6.97,5.87,6.02,1428500,6.02
2015-03-25,6.34,7.86,6.25,7.22,13547100,7.22
2015-03-24,6.10,6.10,5.51,5.585,430400,5.585
2015-03-23,5.81,6.18,5.53,6.05,1332000,6.05
2015-03-20,5.50,6.46,5.45,5.75,9035100,5.75
2015-03-19,3.38,5.00,3.38,4.74,823100,4.74
2015-03-18,3.41,3.45,3.26,3.38,31300,3.38
2015-03-17,3.23,3.36,3.18,3.35,44500,3.35
2015-03-16,3.16,3.20,3.13,3.19,17600,3.19
2015-03-13,3.26,3.33,3.09,3.23,63900,3.23
2015-03-12,3.35,3.40,3.22,3.22,61800,3.22
2015-03-11,3.55,3.55,3.33,3.44,53400,3.44
2015-03-10,3.70,3.70,3.43,3.55,59900,3.55
2015-03-09,3.75,3.90,3.65,3.68,75000,3.68
2015-03-06,3.78,3.894,3.75,3.75,39500,3.75
2015-03-05,3.79,3.96,3.76,3.77,53400,3.77
2015-03-04,3.66,3.91,3.625,3.76,83800,3.76
2015-03-03,3.95,3.95,3.65,3.68,116800,3.68
2015-03-02,4.05,4.16,3.85,3.86,115600,3.86
2015-02-27,4.16,4.22,4.00,4.04,75700,4.04
2015-02-26,4.20,4.23,4.01,4.19,110100,4.19
2015-02-25,4.23,4.23,3.95,4.16,118600,4.16
2015-02-24,4.00,4.36,3.95,4.12,166700,4.12
2015-02-23,4.23,4.25,3.95,4.08,363400,4.08
2015-02-20,4.22,4.40,4.20,4.25,206500,4.25
2015-02-19,4.46,4.579,4.25,4.39,283900,4.39
2015-02-18,5.01,5.01,4.45,4.45,584100,4.45
2015-02-17,7.00,7.02,4.83,4.87,1999200,4.87
2015-02-13,13.63,14.25,12.58,14.11,25900,14.11
2015-02-12,13.65,13.93,13.49,13.87,36700,13.87
2015-02-11,13.90,14.14,13.60,14.02,17800,14.02
2015-02-10,14.42,14.42,13.65,14.23,35600,14.23
2015-02-09,14.07,14.30,13.77,13.95,42100,13.95
2015-02-06,12.50,13.97,12.11,13.71,39700,13.71
2015-02-05,12.94,13.15,12.15,12.23,25700,12.23
2015-02-04,14.00,14.00,12.62,12.776,10500,12.776
2015-02-03,15.40,15.585,12.93,13.82,66700,13.82
2015-02-02,15.20,15.80,14.71,15.40,24400,15.40
2015-01-30,15.37,15.99,14.501,15.80,17100,15.80
2015-01-29,16.01,16.01,14.56,15.30,26200,15.30
2015-01-28,16.99,16.99,14.56,15.50,64500,15.50
2015-01-27,14.56,17.024,13.818,16.23,80100,16.23
2015-01-26,13.66,14.69,13.038,14.53,51700,14.53
2015-01-23,12.80,14.04,12.80,13.55,26000,13.55
2015-01-22,13.50,13.50,12.25,12.51,49800,12.51
2015-01-21,14.20,14.825,13.01,13.11,74100,13.11
2015-01-20,13.50,14.84,12.251,13.60,105000,13.60
2015-01-16,12.12,12.80,11.01,12.11,34700,12.11
2015-01-15,12.63,13.48,12.02,12.21,57300,12.21
2015-01-14,10.45,12.975,10.45,12.59,246500,12.59
2015-01-13,10.60,11.17,9.97,10.60,38100,10.60
2015-01-12,9.89,10.35,9.05,10.35,12100,10.35
2015-01-09,10.50,10.60,9.70,10.52,51400,10.52
2015-01-08,8.19,10.82,8.19,10.78,157300,10.78
2015-01-07,8.35,8.35,7.70,7.81,27600,7.81
2015-01-06,7.55,8.22,7.55,8.143,23200,8.143
2015-01-05,6.855,9.49,6.85,7.91,144800,7.91
2015-01-02,6.00,6.75,5.61,6.75,88100,6.75
2014-12-31,6.49,6.49,5.674,5.91,6500,5.91
2014-12-30,5.73,6.36,5.73,5.91,6800,5.91
2014-12-29,6.01,6.01,5.50,5.50,4800,5.50
2014-12-26,6.00,6.00,6.00,6.00,100,6.00
2014-12-24,6.25,6.27,6.00,6.00,4700,6.00
2014-12-23,5.96,6.50,5.96,6.50,8100,6.50
2014-12-22,5.93,6.74,5.93,5.93,8700,5.93
2014-12-19,5.58,5.94,5.58,5.93,700,5.93
2014-12-18,6.04,6.08,5.50,5.50,1700,5.50
2014-12-17,5.99,5.99,5.99,5.99,100,5.99
2014-12-16,5.61,5.93,5.61,5.91,600,5.91
2014-12-15,6.01,6.01,5.51,5.51,600,5.51
2014-12-12,6.09,6.09,5.60,5.95,4000,5.95
2014-12-11,5.97,6.02,5.615,6.02,7500,6.02
2014-12-10,5.97,6.02,5.55,5.79,4200,5.79
2014-12-09,6.00,6.15,5.77,6.15,1600,6.15
2014-12-08,5.90,6.08,5.806,6.08,13500,6.08
2014-12-05,5.90,6.19,4.65,5.97,79200,5.97
2014-12-04,6.00,6.00,6.00,6.00,300,6.00
2014-12-03,6.00,6.46,5.90,5.90,8300,5.90
2014-12-02,6.31,6.31,6.00,6.00,2400,6.00
2014-12-01,6.20,6.38,6.00,6.20,29500,6.20
2014-11-28,6.13,6.484,6.10,6.20,3900,6.20
2014-11-26,6.34,6.34,6.20,6.22,6800,6.22
2014-11-25,6.35,6.69,6.20,6.28,26300,6.28
2014-11-24,6.35,6.71,6.15,6.20,8300,6.20
2014-11-21,6.75,6.75,6.15,6.15,17700,6.15
2014-11-20,6.40,6.42,6.15,6.20,16800,6.20
2014-11-19,6.75,6.75,6.20,6.20,9400,6.20
2014-11-18,6.74,6.74,6.15,6.31,8600,6.31
2014-11-17,6.636,6.636,6.18,6.22,4900,6.22
2014-11-14,7.35,7.35,6.20,6.20,6300,6.20
2014-11-13,6.45,7.557,6.25,6.937,27300,6.937
2014-11-12,6.16,6.40,6.16,6.35,7900,6.35
2014-11-11,6.40,6.411,6.15,6.15,3600,6.15
2014-11-10,6.03,6.43,6.03,6.07,11800,6.07
2014-11-07,6.557,6.87,6.03,6.08,11300,6.08
2014-11-06,6.50,6.904,6.40,6.42,10800,6.42
2014-11-05,6.60,6.60,6.60,6.60,000,6.60
2014-11-04,6.54,6.601,6.51,6.60,5400,6.60
2014-11-03,6.72,6.75,6.50,6.50,1100,6.50
2014-10-31,6.97,7.20,6.501,6.72,7800,6.72
2014-10-30,6.73,7.40,6.73,6.95,70000,6.95
2014-10-29,6.65,6.84,6.55,6.80,41600,6.80
2014-10-28,6.66,6.90,6.316,6.77,26800,6.77
2014-10-27,6.20,6.74,6.00,6.60,49600,6.60
2014-10-24,6.16,6.43,6.02,6.43,51500,6.43
2014-10-23,6.05,6.49,5.85,6.11,58100,6.11
2014-10-22,6.10,6.10,5.96,6.00,600,6.00
2014-10-21,6.45,6.45,6.45,6.45,300,6.45
2014-10-20,6.55,6.55,6.41,6.50,4700,6.50
2014-10-17,6.37,6.83,6.37,6.49,3300,6.49
2014-10-16,5.95,6.10,5.95,5.95,6700,5.95
2014-10-15,6.78,7.29,6.00,6.04,1500,6.04
2014-10-14,5.91,6.08,5.90,5.90,4100,5.90
2014-10-13,6.50,6.50,5.90,6.01,11600,6.01
2014-10-10,6.00,6.18,6.00,6.18,5500,6.18
2014-10-09,6.21,6.50,6.00,6.15,25600,6.15
2014-10-08,6.88,6.88,6.15,6.69,21400,6.69
2014-10-07,6.05,6.56,6.00,6.56,39900,6.56
2014-10-06,5.95,6.05,5.85,6.05,18600,6.05
2014-10-03,5.99,6.10,5.25,6.10,21500,6.10
2014-10-02,6.00,6.00,5.80,5.85,24000,5.85
2014-10-01,6.02,6.13,5.85,5.85,1242300,5.85
