Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.70,9.70,9.70,9.70,000,9.70
2016-01-21,9.70,9.70,9.70,9.70,1300,9.70
2016-01-20,9.63,9.70,9.53,9.67,25900,9.67
2016-01-19,9.60,9.60,9.60,9.60,100,9.60
2016-01-15,9.75,9.75,9.75,9.75,000,9.75
2016-01-14,9.75,9.75,9.75,9.75,1300,9.75
2016-01-13,9.67,9.832,9.67,9.832,300,9.832
2016-01-12,9.52,9.65,9.52,9.65,1200100,9.65
2016-01-11,9.66,9.66,9.66,9.66,100,9.66
2016-01-08,9.67,9.67,9.67,9.67,200,9.67
2016-01-07,9.66,9.66,9.66,9.66,1200,9.66
2016-01-06,9.60,9.64,9.60,9.64,200,9.64
2016-01-05,9.62,9.62,9.62,9.62,100,9.62
2016-01-04,9.56,9.634,9.55,9.63,76800,9.63
2015-12-31,9.63,9.67,9.54,9.64,9200,9.64
2015-12-30,9.57,9.63,9.55,9.63,4100,9.63
2015-12-29,9.55,9.60,9.55,9.58,36800,9.58
2015-12-28,9.61,9.61,9.60,9.60,600,9.60
2015-12-24,9.50,9.50,9.50,9.50,24300,9.50
2015-12-23,9.55,9.60,9.53,9.53,11300,9.53
2015-12-22,9.60,9.61,9.52,9.61,603400,9.61
2015-12-21,9.54,9.65,9.54,9.56,13200,9.56
2015-12-18,9.60,9.60,9.60,9.60,000,9.60
